review_id,product_id,review,rating
R98658,P54560,"This dress looks pretty, satisfied with this product.",5
R11389,P54560,Amazing...Very comfortable,5
R11243,P54560,So comfortable dress in  pregnancy time....,4
R28588,P54560,Perfect 👍😊,5
R68971,P54560,Very decent look❤️,5
R51326,P54560,Nice one,4
R39191,P54560,Very beautiful,5
R41036,P54560,Amazing  😍😍♥️♥️,5
R87431,P54560,lovley😍😍,5
R36466,P54560,I loved it a lott...nyc cloth..superr👍👍❤,5
R47423,P60545,lovly dress,5
R26162,P60545,It’s really beautiful 😍,5
R75653,P60545,Awesome dress,5
R58450,P60545,I loved it ❤,5
R14848,P60545,I like this dress💗💗💗💗,4
R33408,P60545,Good quality,5
R87668,P60545,Really satisfied,5
R70945,P60545,very very very beautiful.....,5
R97083,P60545,Thanks flipcart,5
R42689,P60545,I like this dress,4
R55275,P34943,lovly dress,5
R46923,P34943,It’s really beautiful 😍,5
R95829,P34943,Awesome dress,5
R84330,P34943,I loved it ❤,5
R53038,P34943,I like this dress💗💗💗💗,4
R92309,P34943,Good quality,5
R94243,P34943,Really satisfied,5
R83786,P34943,very very very beautiful.....,5
R20908,P34943,Thanks flipcart,5
R91177,P34943,I like this dress,4
R96308,P35415,Dress is beautiful,5
R85644,P35415,Super quality and too much comfortable,5
R51454,P35415,Love it ❤❤❤❤,5
R51751,P35415,Awesome dress,5
R96891,P35415,Nice fabric good quality awesome…😍,4
R53701,P35415,This product  is good fabric is good just osm,5
R88029,P35415,Good,5
R14084,P35415,Very good productI am very happy,5
R71464,P35415,Very good,5
R28189,P35415,Good quality,5
R99207,P19802,Very nice,5
R19770,P19802,Lovely dress,5
R91450,P19802,Nice dress,5
R27232,P19802,Must buy,5
R69792,P19802,I love it,5
R89933,P19802,soo good,5
R56370,P19802,Amazing dress 😍😍,5
R24141,P19802,Awesome 👍😎,5
R73728,P19802,Just Perfect 💕,5
R69947,P19802,Nice product,5
R10153,P60030,Love this product...much satisfied ❤️,5
R41718,P60030,Awesome dress! 🖤,5
R30179,P60030,Beautiful dress.,4
R98730,P60030,I loved the dress.. material is also good but not see through.go for it..,5
R83847,P60030,The product was awesome 👌  I seriously loved it ❤,5
R14775,P60030,How cute 🥰🥰 I love it this dress,5
R12101,P60030,nice product 😊 i lv it,4
R91802,P60030,Quite impressive..  it gives very classy look,4
R61859,P60030,Awesome dress ND beautiful,5
R47000,P60030,I just loved it.... very comfortable with reasonable price,4
R49469,P88630,lovly dress,5
R47998,P88630,It’s really beautiful 😍,5
R74075,P88630,Awesome dress,5
R84070,P88630,I loved it ❤,5
R56565,P88630,I like this dress💗💗💗💗,4
R25880,P88630,Good quality,5
R45606,P88630,Really satisfied,5
R23768,P88630,Thanks flipcart,5
R27590,P88630,I like this dress,4
R29790,P88630,very very very beautiful.....,5
R19294,P89920,Very thin material. Good for summers though. Fitting is too good. Looks nice. Overall for the price a great deal.,3
R68712,P89920,Beautiful dress...!! Thank you Flipkart if you have a medium size go for a large !!,5
R60368,P89920,The dress is so beautiful 😍,5
R36555,P89920,"I love this dress, thank you Flipkart",4
R40332,P89920,"Product is very good .trendy .best for summer , a bit long , but it's good 💌",4
R70382,P89920,Nice,3
R64750,P89920,Guys i just only wanted to say that just go for it don't think twice it's the best dress ever i got from Flipkart,5
R55593,P89920,Fabric is not good but good,3
R35686,P89920,Amazing❤❤jst go for it......,5
R95762,P89920,Waww very nice 😍😍,3
R38704,P93729,"This dress looks pretty, satisfied with this product.",5
R49893,P93729,Amazing...Very comfortable,5
R81485,P93729,Perfect 👍😊,5
R84356,P93729,So comfortable dress in  pregnancy time....,4
R51678,P93729,Very decent look❤️,5
R44867,P93729,Nice one,4
R93649,P93729,Very beautiful,5
R89780,P93729,Amazing  😍😍♥️♥️,5
R34159,P93729,I loved it a lott...nyc cloth..superr👍👍❤,5
R59480,P93729,lovley😍😍,5
